Economy,Year,Economy Code,Population ages 0-14 (% of total population)
St. Martin (French part),2022,MAF,21.737
St. Vincent and the Grenadines,2022,VCT,21.925
Sudan,2022,SDN,40.929
Suriname,2022,SUR,26.245
Sweden,2022,SWE,17.600
Switzerland,2022,CHE,15.046
Syrian Arab Republic,2022,SYR,31.415
Tajikistan,2022,TJK,36.270
Tanzania,2022,TZA,43.357
Thailand,2022,THA,15.520
Timor-Leste,2022,TLS,34.712
Togo,2022,TGO,39.960
Tonga,2022,TON,34.258
Trinidad and Tobago,2022,TTO,19.046
Tunisia,2022,TUN,24.840
Turkiye,2022,TUR,23.233
Turkmenistan,2022,TKM,31.120
Turks and Caicos Islands,2022,TCA,16.692
Tuvalu,2022,TUV,31.693
Uganda,2022,UGA,44.781
Ukraine,2022,UKR,15.426
United Arab Emirates,2022,ARE,15.232
United Kingdom,2022,GBR,17.467
United States,2022,USA,17.959
Uruguay,2022,URY,19.098
Uzbekistan,2022,UZB,30.211
Vanuatu,2022,VUT,39.393
"Venezuela, RB",2022,VEN,27.574
Vietnam,2022,VNM,22.390
Virgin Islands (U.S.),2022,VIR,19.180
West Bank and Gaza,2022,PSE,38.770
"Yemen, Rep.",2022,YEM,39.497
Zambia,2022,ZMB,42.857
Zimbabwe,2022,ZWE,40.634
